tenure_months,avg_balance,txn_freq,service_contacts,product_count,digital_usage_change,balance_change,churn
58.240346532704876,2445.8866609745232,22,1,3,1.3518491372867278,0.7441745754239197,0
43.743086605506875,50.0,25,2,2,-0.3091314176346893,0.5999667303164067,0
41.78893392089143,2897.0689365852804,31,6,1,0.062755939954115,0.3535576702488918,1
41.789263420687234,889.9535911888602,29,0,1,0.22461627802321033,0.12757735454059946,0
89.76984108392972,3823.1515700593504,24,2,3,2.0940818113699233,-1.2103594875745578,0
65.28583054439358,2150.76892838165,17,2,3,0.5534508039973122,0.400809659413032,0
37.241807520689875,817.6188780605285,13,2,2,1.2263666646731863,1.2250797956946697,0
59.39592388891157,50.0,26,0,5,0.36709024143847163,0.06392498884010628,0
52.09123031639806,1325.6350136683943,23,1,1,1.6184215344629722,0.3014630446210238,0
16.336432881033907,2787.2570688914057,25,2,5,-0.14187324029503165,-0.9420193253930124,0
28.02830389506173,3005.8163765877543,28,1,3,1.3929991917592082,-0.7552950501432073,0
53.78967665370057,1901.8744225920718,23,0,3,-0.36773421603346823,3.3584718008032,0
86.02850698329449,3610.9564521195625,22,1,5,-0.7990202783099952,-0.9985571827210987,0
41.95728440976434,1137.108528525915,19,2,3,-0.10469775557397773,1.9235071316329857,0
35.866837977629885,50.0,25,0,3,-0.009303550974864102,1.005665295889361,0
49.10411519564703,2839.064380890999,30,3,2,0.14173720321678152,-0.7324687208585292,0
34.85679291779056,4048.1149752200604,28,2,3,0.08696846857155255,-0.20301837917930726,0
40.64472381615764,4059.2004083892916,17,2,4,-0.06498740856015765,-2.7930355721564544,1
46.375700116436455,940.2289112615983,20,1,5,0.4210909371499926,-0.8887387870933274,0
27.343796345805686,1846.3681752141301,25,1,3,0.4347645836196909,-0.9253370817769166,0
66.78634864808792,3368.5840188886086,31,1,4,-0.6720836895457235,-1.023422317165822,0
24.94965684932275,1747.4726704494751,28,1,1,-1.3984565844694583,1.0725462533453243,1
